F9B15DD060 (rsp+6D0)  - 0000000041A4FAE2     - (float)20.62
F9B15DD068 (rsp+6D8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD070 (rsp+6E0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD078 (rsp+6E8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD080 (rsp+6F0)  - 800000003EAD9F02     - (float)0.34
F9B15DD088 (rsp+6F8)  - 8000000080000000     - (qword)8000000080000000(9223372039002259456)
F9B15DD090 (rsp+700)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD098 (rsp+708)  - 000000F9B15DDA10     - (pointer)F9B15DDA10
F9B15DD0A0 (rsp+710)  - 0000000000000008     - (qword)0000000000000008(8)
F9B15DD0A8 (rsp+718)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD0B0 (rsp+720)  - 000000F9B15DD4E0     - (pointer)F9B15DD4E0
F9B15DD0B8 (rsp+728)  - 0000000000000008     - (qword)0000000000000008(8)
F9B15DD0C0 (rsp+730)  - 00000276DEB3B5F8     - (pointer)276DEB3B5F8
F9B15DD0C8 (rsp+738)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD0D0 (rsp+740)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD0D8 (rsp+748)  - 000000F9B15DD990     - (pointer)F9B15DD990
F9B15DD0E0 (rsp+750)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD0E8 (rsp+758)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD0F0 (rsp+760)  - 000000F9B15DD460     - (pointer)F9B15DD460
F9B15DD0F8 (rsp+768)  - 000000F9B15DD4F0     - (pointer)F9B15DD4F0
F9B15DD100 (rsp+770)  - 000000003F800000     - (float)1.00
F9B15DD108 (rsp+778)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD110 (rsp+780)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD118 (rsp+788)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD120 (rsp+790)  - 0000000041A4FAE2     - (float)20.62
F9B15DD128 (rsp+798)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD130 (rsp+7A0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD138 (rsp+7A8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD140 (rsp+7B0)  - 00000000C1AF92FD     - (float)-21.95
F9B15DD148 (rsp+7B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD150 (rsp+7C0)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD158 (rsp+7C8)  - 000000F9B15DDA10     - (pointer)F9B15DDA10
F9B15DD160 (rsp+7D0)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD168 (rsp+7D8)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD170 (rsp+7E0)  - 000000F9B15DD4E0     - (pointer)F9B15DD4E0
F9B15DD178 (rsp+7E8)  - 000000F9B15DD570     - (pointer)F9B15DD570
F9B15DD180 (rsp+7F0)  - 00000276DEB3B5EC     - (pointer)276DEB3B5EC
F9B15DD188 (rsp+7F8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD190 (rsp+800)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD198 (rsp+808)  - 000000F9B15DD990     - (pointer)F9B15DD990
F9B15DD1A0 (rsp+810)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD1A8 (rsp+818)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD1B0 (rsp+820)  - 000000F9B15DD460     - (pointer)F9B15DD460
F9B15DD1B8 (rsp+828)  - 000000F9B15DD4F0     - (pointer)F9B15DD4F0
F9B15DD1C0 (rsp+830)  - 000000003F800000     - (float)1.00
F9B15DD1C8 (rsp+838)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD1D0 (rsp+840)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD1D8 (rsp+848)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD1E0 (rsp+850)  - 0000000041A4FAE2     - (float)20.62
F9B15DD1E8 (rsp+858)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD1F0 (rsp+860)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD1F8 (rsp+868)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD200 (rsp+870)  - 00000000C1E52EB1     - (float)-28.65
F9B15DD208 (rsp+878)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD210 (rsp+880)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD218 (rsp+888)  - 000000F9B15DDA10     - (pointer)F9B15DDA10
F9B15DD220 (rsp+890)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD228 (rsp+898)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD230 (rsp+8A0)  - 000000F9B15DD4E0     - (pointer)F9B15DD4E0
F9B15DD238 (rsp+8A8)  - 000000F9B15DD570     - (pointer)F9B15DD570
F9B15DD240 (rsp+8B0)  - 00000276DEB3B5E0     - (pointer)276DEB3B5E0
F9B15DD248 (rsp+8B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD250 (rsp+8C0)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD258 (rsp+8C8)  - 000000F9B15DD990     - (pointer)F9B15DD990
F9B15DD260 (rsp+8D0)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD268 (rsp+8D8)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD270 (rsp+8E0)  - 000000F9B15DD460     - (pointer)F9B15DD460
F9B15DD278 (rsp+8E8)  - 000000F9B15DD4F0     - (pointer)F9B15DD4F0
F9B15DD280 (rsp+8F0)  - 000000003F800000     - (float)1.00
F9B15DD288 (rsp+8F8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD290 (rsp+900)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD298 (rsp+908)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD2A0 (rsp+910)  - 0000000041A4FAE2     - (float)20.62
F9B15DD2A8 (rsp+918)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD2B0 (rsp+920)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD2B8 (rsp+928)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD2C0 (rsp+930)  - 00000000C26F1C90     - (float)-59.78
F9B15DD2C8 (rsp+938)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD2D0 (rsp+940)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD2D8 (rsp+948)  - 000000F9B15DDA10     - (pointer)F9B15DDA10
F9B15DD2E0 (rsp+950)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD2E8 (rsp+958)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD2F0 (rsp+960)  - 000000F9B15DD4E0     - (pointer)F9B15DD4E0
F9B15DD2F8 (rsp+968)  - 000000F9B15DD570     - (pointer)F9B15DD570
F9B15DD300 (rsp+970)  - 00000276DEB3B5D4     - (pointer)276DEB3B5D4
F9B15DD308 (rsp+978)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD310 (rsp+980)  - 00000276DEAFF818     - (pointer)276DEAFF818
F9B15DD318 (rsp+988)  - 000000F9B15DD990     - (pointer)F9B15DD990
F9B15DD320 (rsp+990)  - 00000276DEB7AB08     - (pointer)276DEB7AB08
F9B15DD328 (rsp+998)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DD330 (rsp+9A0)  - 000000F9B15DD460     - (pointer)F9B15DD460
F9B15DD338 (rsp+9A8)  - 000000F9B15DD4F0     - (pointer)F9B15DD4F0
F9B15DD340 (rsp+9B0)  - 000000003F800000     - (float)1.00
F9B15DD348 (rsp+9B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD350 (rsp+9C0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD358 (rsp+9C8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DD360 (rsp+9D0)  - 00000000BFAA5320     - (float)-1.33
F9B15DD368 (rsp+9D8)  - 0000000000000000     - (qword)0000000000000000(0)
